label,problem_id,final_state,success,trace_rows,capture_error_count,primary_result,artifact
aiopslab_noop_live_summary,noop_detection_hotel_reservation-1,SubmissionStatus.VALID_SUBMISSION,,,0,Detection Accuracy=Correct,reports/evaluations/202605021141_aiopslab_noop_live_summary.json
aiopslab_noop_live_summary,noop_detection_hotel_reservation-1,SubmissionStatus.VALID_SUBMISSION,,2,0,Detection Accuracy=Correct,reports/evaluations/202605021205_aiopslab_noop_live_summary.json
aiopslab_misconfig_detection_live_summary,misconfig_app_hotel_res-detection-1,SubmissionStatus.VALID_SUBMISSION,,2,0,Detection Accuracy=Correct,reports/evaluations/202605021230_aiopslab_misconfig_detection_live_summary.json
aiopslab_misconfig_localization_live_summary,misconfig_app_hotel_res-localization-1,SubmissionStatus.VALID_SUBMISSION,true,2,0,Localization Accuracy=100,reports/evaluations/202605021245_aiopslab_misconfig_localization_live_summary.json
aiopslab_misconfig_analysis_live_summary,misconfig_app_hotel_res-analysis-1,SubmissionStatus.VALID_SUBMISSION,true,2,0,system_level_correct=true,reports/evaluations/202605021250_aiopslab_misconfig_analysis_live_summary.json
aiopslab_misconfig_mitigation_live_summary,misconfig_app_hotel_res-mitigation-1,SubmissionStatus.VALID_SUBMISSION,true,3,0,success=true,reports/evaluations/202605021255_aiopslab_misconfig_mitigation_live_summary.json
aiopslab_misconfig_mitigation_periodic_live_summary,misconfig_app_hotel_res-mitigation-1,SubmissionStatus.VALID_SUBMISSION,true,26,0,success=true,reports/evaluations/202605021325_aiopslab_misconfig_mitigation_periodic_live_summary.json
aiopslab_mitigation_enriched_live_summary,misconfig_app_hotel_res-mitigation-1,SubmissionStatus.VALID_SUBMISSION,true,24,0,success=true,reports/evaluations/202605021350_aiopslab_mitigation_enriched_live_summary.json
aiopslab_mitigation_prometheus_live_summary,misconfig_app_hotel_res-mitigation-1,SubmissionStatus.VALID_SUBMISSION,true,15,2,success=true,reports/evaluations/202605022020_aiopslab_mitigation_prometheus_live_summary.json
k8s_target_port_detection_live_summary,k8s_target_port-misconfig-detection-1,SubmissionStatus.VALID_SUBMISSION,,4,0,Detection Accuracy=Correct,reports/evaluations/202605022100_k8s_target_port_detection_live_summary.json
k8s_target_port_localization_live_summary,k8s_target_port-misconfig-localization-1,SubmissionStatus.VALID_SUBMISSION,true,4,0,Localization Accuracy=100,reports/evaluations/202605022105_k8s_target_port_localization_live_summary.json
k8s_target_port_analysis_live_summary,k8s_target_port-misconfig-analysis-1,SubmissionStatus.VALID_SUBMISSION,true,4,0,system_level_correct=true,reports/evaluations/202605022110_k8s_target_port_analysis_live_summary.json
k8s_target_port_mitigation_live_summary,k8s_target_port-misconfig-mitigation-1,SubmissionStatus.VALID_SUBMISSION,true,5,0,success=true,reports/evaluations/202605022120_k8s_target_port_mitigation_live_summary.json
scale_pod_zero_detection_live_summary,scale_pod_zero_social_net-detection-1,SubmissionStatus.VALID_SUBMISSION,,4,0,Detection Accuracy=Correct,reports/evaluations/202605030120_scale_pod_zero_detection_live_summary.json
scale_pod_zero_localization_live_summary,scale_pod_zero_social_net-localization-1,SubmissionStatus.VALID_SUBMISSION,true,4,0,Localization Accuracy=100,reports/evaluations/202605030125_scale_pod_zero_localization_live_summary.json
scale_pod_zero_analysis_live_summary,scale_pod_zero_social_net-analysis-1,SubmissionStatus.VALID_SUBMISSION,true,4,0,system_level_correct=true,reports/evaluations/202605030130_scale_pod_zero_analysis_live_summary.json
scale_pod_zero_mitigation_live_summary,scale_pod_zero_social_net-mitigation-1,SubmissionStatus.VALID_SUBMISSION,true,6,0,success=true,reports/evaluations/202605030135_scale_pod_zero_mitigation_live_summary.json
assign_nonexistent_detection_live_summary,assign_to_non_existent_node_social_net-detection-1,SubmissionStatus.VALID_SUBMISSION,,5,0,Detection Accuracy=Correct,reports/evaluations/202605030250_assign_nonexistent_detection_live_summary.json
assign_nonexistent_localization_live_summary,assign_to_non_existent_node_social_net-localization-1,SubmissionStatus.VALID_SUBMISSION,true,5,0,Localization Accuracy=100,reports/evaluations/202605030255_assign_nonexistent_localization_live_summary.json
assign_nonexistent_analysis_live_summary,assign_to_non_existent_node_social_net-analysis-1,SubmissionStatus.VALID_SUBMISSION,true,5,0,system_level_correct=true,reports/evaluations/202605030300_assign_nonexistent_analysis_live_summary.json
assign_nonexistent_mitigation_live_summary,assign_to_non_existent_node_social_net-mitigation-1,SubmissionStatus.VALID_SUBMISSION,true,6,0,success=true,reports/evaluations/202605030305_assign_nonexistent_mitigation_live_summary.json
